Year,st,State,Gini,,,
1927,41,South Carolina,0.42,,,
1927,42,South Dakota,0.37,,,
1927,43,Tennessee,0.48,,,
1927,44,Texas,0.45,,,
1927,45,Utah,0.47,,,
1927,46,Vermont,0.46,,,
1927,47,Virginia,0.48,,,
1927,48,Washington,0.38,,,
1927,49,West Virginia,0.47,,,
1927,50,Wisconsin,0.50,,,
1927,51,Wyoming,0.38,,,
1928,0,United States,0.57,,,
1928,1,Alabama,0.51,,,
1928,3,Arizona,0.48,,,
1928,4,Arkansas,0.42,,,
1928,5,California,0.54,,,
1928,6,Colorado,0.50,,,
1928,7,Connecticut,0.59,,,
1928,8,Delaware,0.75,,,
1928,9,District of Columbia,0.52,,,
1928,10,Florida,0.57,,,
1928,11,Georgia,0.48,,,
1928,13,Idaho,0.34,,,
1928,14,Illinois,0.56,,,
1928,15,Indiana,0.49,,,
1928,16,Iowa,0.48,,,
1928,17,Kansas,0.43,,,
1928,18,Kentucky,0.51,,,
1928,19,Louisiana,0.47,,,
1928,20,Maine,0.55,,,
1928,21,Maryland,0.55,,,
1928,22,Massachusetts,0.59,,,
1928,23,Michigan,0.58,,,
1928,24,Minnesota,0.55,,,
1928,25,Mississippi,0.42,,,
1928,26,Missouri,0.54,,,
1928,27,Montana,0.42,,,
1928,28,Nebraska,0.42,,,
1928,29,Nevada,0.46,,,
1928,30,New Hampshire,0.52,,,
1928,31,New Jersey,0.55,,,
1928,32,New Mexico,0.41,,,
1928,33,New York,0.65,,,
1928,34,North Carolina,0.55,,,
1928,35,North Dakota,0.38,,,
1928,36,Ohio,0.56,,,
1928,37,Oklahoma,0.50,,,
1928,38,Oregon,0.44,,,
1928,39,Pennsylvania,0.57,,,
1928,40,Rhode Island,0.59,,,
1928,41,South Carolina,0.43,,,
1928,42,South Dakota,0.38,,,
1928,43,Tennessee,0.51,,,
1928,44,Texas,0.45,,,
1928,45,Utah,0.48,,,
1928,46,Vermont,0.47,,,
1928,47,Virginia,0.49,,,
1928,48,Washington,0.42,,,
1928,49,West Virginia,0.48,,,
1928,50,Wisconsin,0.52,,,
1928,51,Wyoming,0.40,,,
1929,0,United States,0.57,,,
1929,1,Alabama,0.46,,,
1929,3,Arizona,0.45,,,
1929,4,Arkansas,0.41,,,
1929,5,California,0.51,,,
1929,6,Colorado,0.49,,,
1929,7,Connecticut,0.60,,,
1929,8,Delaware,0.73,,,
1929,9,District of Columbia,0.49,,,
1929,10,Florida,0.55,,,
1929,11,Georgia,0.46,,,
1929,13,Idaho,0.32,,,
1929,14,Illinois,0.56,,,
1929,15,Indiana,0.49,,,
1929,16,Iowa,0.44,,,
1929,17,Kansas,0.43,,,
1929,18,Kentucky,0.52,,,
1929,19,Louisiana,0.45,,,
1929,20,Maine,0.54,,,
1929,21,Maryland,0.57,,,
1929,22,Massachusetts,0.60,,,
1929,23,Michigan,0.57,,,
1929,24,Minnesota,0.53,,,
1929,25,Mississippi,0.41,,,
1929,26,Missouri,0.53,,,
1929,27,Montana,0.42,,,
1929,28,Nebraska,0.43,,,
1929,29,Nevada,0.45,,,
1929,30,New Hampshire,0.51,,,
1929,31,New Jersey,0.54,,,
1929,32,New Mexico,0.40,,,
1929,33,New York,0.65,,,
1929,34,North Carolina,0.51,,,
1929,35,North Dakota,0.38,,,
1929,36,Ohio,0.55,,,
1929,37,Oklahoma,0.51,,,
1929,38,Oregon,0.43,,,
1929,39,Pennsylvania,0.58,,,
1929,40,Rhode Island,0.60,,,
1929,41,South Carolina,0.47,,,
1929,42,South Dakota,0.41,,,
1929,43,Tennessee,0.49,,,
1929,44,Texas,0.46,,,
1929,45,Utah,0.47,,,
1929,46,Vermont,0.48,,,
1929,47,Virginia,0.47,,,
1929,48,Washington,0.44,,,
1929,49,West Virginia,0.48,,,
1929,50,Wisconsin,0.51,,,
1929,51,Wyoming,0.39,,,
1930,0,United States,0.50,,,
1930,1,Alabama,0.43,,,
1930,3,Arizona,0.40,,,
1930,4,Arkansas,0.39,,,
1930,5,California,0.46,,,
1930,6,Colorado,0.47,,,
1930,7,Connecticut,0.53,,,
1930,8,Delaware,0.65,,,
1930,9,District of Columbia,0.44,,,
1930,10,Florida,0.49,,,
1930,11,Georgia,0.43,,,
1930,13,Idaho,0.33,,,
1930,14,Illinois,0.50,,,
1930,15,Indiana,0.46,,,
1930,16,Iowa,0.42,,,
1930,17,Kansas,0.43,,,
1930,18,Kentucky,0.45,,,
1930,19,Louisiana,0.41,,,
1930,20,Maine,0.48,,,
1930,21,Maryland,0.50,,,
1930,22,Massachusetts,0.52,,,
1930,23,Michigan,0.50,,,
1930,24,Minnesota,0.47,,,
1930,25,Mississippi,0.40,,,
1930,26,Missouri,0.49,,,
1930,27,Montana,0.38,,,
1930,28,Nebraska,0.42,,,
1930,29,Nevada,0.46,,,
1930,30,New Hampshire,0.47,,,
1930,31,New Jersey,0.47,,,
1930,32,New Mexico,0.38,,,
1930,33,New York,0.55,,,
1930,34,North Carolina,0.49,,,
1930,35,North Dakota,0.36,,,
1930,36,Ohio,0.49,,,
1930,37,Oklahoma,0.48,,,
1930,38,Oregon,0.40,,,
1930,39,Pennsylvania,0.52,,,
1930,40,Rhode Island,0.53,,,
1930,41,South Carolina,0.40,,,
1930,42,South Dakota,0.38,,,
1930,43,Tennessee,0.43,,,
1930,44,Texas,0.44,,,
1930,45,Utah,0.44,,,
1930,46,Vermont,0.44,,,
1930,47,Virginia,0.43,,,
1930,48,Washington,0.39,,,
1930,49,West Virginia,0.44,,,
1930,50,Wisconsin,0.48,,,
1930,51,Wyoming,0.38,,,
1931,0,United States,0.47,,,
1931,1,Alabama,0.42,,,
1931,3,Arizona,0.38,,,
1931,4,Arkansas,0.38,,,
1931,5,California,0.45,,,
1931,6,Colorado,0.45,,,
1931,7,Connecticut,0.50,,,
1931,8,Delaware,0.64,,,
1931,9,District of Columbia,0.43,,,
1931,10,Florida,0.49,,,
1931,11,Georgia,0.41,,,
1931,13,Idaho,0.30,,,
1931,14,Illinois,0.46,,,
1931,15,Indiana,0.43,,,
1931,16,Iowa,0.41,,,
1931,17,Kansas,0.42,,,
1931,18,Kentucky,0.42,,,
1931,19,Louisiana,0.40,,,
1931,20,Maine,0.47,,,
1931,21,Maryland,0.49,,,
1931,22,Massachusetts,0.48,,,
1931,23,Michigan,0.49,,,
1931,24,Minnesota,0.45,,,
1931,25,Mississippi,0.38,,,
1931,26,Missouri,0.46,,,
1931,27,Montana,0.36,,,
1931,28,Nebraska,0.41,,,
1931,29,Nevada,0.44,,,
1931,30,New Hampshire,0.45,,,
1931,31,New Jersey,0.45,,,
1931,32,New Mexico,0.38,,,
1931,33,New York,0.50,,,
1931,34,North Carolina,0.48,,,
1931,35,North Dakota,0.36,,,
1931,36,Ohio,0.44,,,
1931,37,Oklahoma,0.44,,,
1931,38,Oregon,0.37,,,
1931,39,Pennsylvania,0.49,,,
1931,40,Rhode Island,0.50,,,
1931,41,South Carolina,0.40,,,
1931,42,South Dakota,0.39,,,
1931,43,Tennessee,0.43,,,
1931,44,Texas,0.42,,,
1931,45,Utah,0.41,,,
1931,46,Vermont,0.40,,,
1931,47,Virginia,0.42,,,
1931,48,Washington,0.36,,,
1931,49,West Virginia,0.41,,,
1931,50,Wisconsin,0.46,,,
1931,51,Wyoming,0.35,,,
1932,0,United States,0.45,,,
1932,1,Alabama,0.39,,,
1932,3,Arizona,0.34,,,
1932,4,Arkansas,0.35,,,
1932,5,California,0.42,,,
1932,6,Colorado,0.42,,,
1932,7,Connecticut,0.48,,,
1932,8,Delaware,0.64,,,
1932,9,District of Columbia,0.38,,,
1932,10,Florida,0.45,,,
1932,11,Georgia,0.41,,,
1932,13,Idaho,0.30,,,
1932,14,Illinois,0.44,,,
1932,15,Indiana,0.40,,,
1932,16,Iowa,0.36,,,
1932,17,Kansas,0.41,,,
1932,18,Kentucky,0.41,,,
1932,19,Louisiana,0.39,,,
1932,20,Maine,0.45,,,
1932,21,Maryland,0.45,,,
1932,22,Massachusetts,0.45,,,
1932,23,Michigan,0.43,,,
1932,24,Minnesota,0.43,,,
1932,25,Mississippi,0.37,,,
1932,26,Missouri,0.43,,,
1932,27,Montana,0.34,,,
1932,28,Nebraska,0.39,,,
1932,29,Nevada,0.39,,,
1932,30,New Hampshire,0.43,,,
1932,31,New Jersey,0.44,,,
1932,32,New Mexico,0.34,,,
1932,33,New York,0.49,,,
1932,34,North Carolina,0.48,,,
1932,35,North Dakota,0.33,,,
1932,36,Ohio,0.43,,,
1932,37,Oklahoma,0.39,,,
1932,38,Oregon,0.38,,,
1932,39,Pennsylvania,0.46,,,
1932,40,Rhode Island,0.49,,,
1932,41,South Carolina,0.38,,,
1932,42,South Dakota,0.36,,,
1932,43,Tennessee,0.39,,,
1932,44,Texas,0.40,,,
1932,45,Utah,0.40,,,
1932,46,Vermont,0.38,,,
1932,47,Virginia,0.40,,,
1932,48,Washington,0.35,,,
1932,49,West Virginia,0.38,,,
1932,50,Wisconsin,0.43,,,
1932,51,Wyoming,0.34,,,
1933,0,United States,0.46,,,
1933,1,Alabama,0.40,,,
1933,3,Arizona,0.35,,,
